hm,Station Number,Day/Month/Year Hour24:Minutes in DD/MM/YYYY HH24:MI format in Local standard time,Mean sea level pressure in hPa,Quality of mean sea level pressure,Station level pressure in hPa,Quality of station level pressure,AWS Flag,#
hm, 14015,01/10/2014 00:00,1013.1,N,1009.1,N, 2,#
hm, 14015,01/10/2014 00:30,1013.0,N,1009.0,N, 2,#
hm, 14015,01/10/2014 01:00,1012.9,N,1008.9,N, 2,#
hm, 14015,01/10/2014 01:30,1012.8,N,1008.8,N, 2,#
hm, 14015,01/10/2014 02:00,1012.6,N,1008.6,N, 2,#
hm, 14015,01/10/2014 02:30,1012.3,N,1008.3,N, 2,#
hm, 14015,01/10/2014 03:00,1012.2,N,1008.2,N, 2,#
hm, 14015,01/10/2014 03:30,1012.0,N,1008.0,N, 2,#
hm, 14015,01/10/2014 04:00,1011.8,N,1007.8,N, 2,#
hm, 14015,01/10/2014 04:30,1012.0,N,1008.0,N, 2,#
hm, 14015,01/10/2014 05:00,1012.3,N,1008.3,N, 2,#
hm, 14015,01/10/2014 05:30,1012.5,N,1008.5,N, 2,#
hm, 14015,01/10/2014 06:00,1012.7,N,1008.7,N, 2,#
hm, 14015,01/10/2014 06:30,1012.9,N,1008.9,N, 2,#
hm, 14015,01/10/2014 07:00,1013.1,N,1009.1,N, 2,#
hm, 14015,01/10/2014 07:30,1013.6,N,1009.6,N, 2,#
hm, 14015,01/10/2014 08:00,1014.1,N,1010.1,N, 2,#
hm, 14015,01/10/2014 08:30,1014.4,N,1010.4,N, 2,#
hm, 14015,01/10/2014 09:00,1014.7,N,1010.7,N, 2,#
hm, 14015,01/10/2014 09:30,1014.7,N,1010.7,N, 2,#
hm, 14015,01/10/2014 10:00,1014.7,N,1010.7,N, 2,#
hm, 14015,01/10/2014 10:30,1014.4,N,1010.5,N, 2,#
hm, 14015,01/10/2014 11:00,1014.1,N,1010.2,N, 2,#
hm, 14015,01/10/2014 11:30,1013.6,N,1009.7,N, 2,#
