 Latit   Longit   ut_start_time      ut_end_time        xco2      xco2_error
 45.945  -90.273  2004 194 15 34 14  2004 194 17 34 14  373.6E-6  0.52E-6
 45.945  -90.273  2004 196 21 56 24  2004 196 23 56 24  372.1E-6  0.75E-6
 45.945  -90.273  2004 197 13 27 07  2004 197 15 27 07  371.7E-6  0.52E-6
 45.945  -90.273  2004 197 13 30 33  2004 197 15 30 33  372.0E-6  0.78E-6
 45.945  -90.273  2004 197 16 34 18  2004 197 18 34 18  372.8E-6  0.48E-6
 45.945  -90.273  2004 227 20 05 46  2004 227 22 05 46  368.0E-6  0.55E-6
 45.945  -90.273  2004 228 13 05 47  2004 228 15 05 47  367.1E-6  0.77E-6
 45.945  -90.273  2004 228 19 24 45  2004 228 21 24 45  367.1E-6  0.77E-6  
-12.425  130.891  2006 035 00 33 55  2006 035 02 33 56  378.1E-6  0.66E-6
-12.425  130.891  2006 035 01 48 10  2006 035 03 48 10  378.3E-6  0.74E-6
 80.050  -86.420  2008 099 16 00 00  2008 099 17 00 00  387.7E-6  1.00E-6
